Date,W1,W2,W3,W4,W5,W6,W7,WB
2/13/2024,13,16,18,29,35,36,49,34
2/16/2024,4,19,29,34,41,44,46,31
2/20/2024,1,4,23,24,31,40,48,38
2/23/2024,8,16,24,28,40,41,47,10
2/27/2024,14,18,22,25,34,40,46,30
3/1/2024,15,17,23,32,38,46,47,44
3/5/2024,2,4,7,25,33,43,49,38
3/8/2024,1,3,6,19,21,33,47,10
3/12/2024,3,15,20,21,23,24,34,38
3/15/2024,22,24,31,33,39,45,46,2
3/19/2024,3,16,19,21,24,40,46,39
3/22/2024,2,7,19,28,36,37,44,10
3/26/2024,21,24,25,26,31,42,43,30
3/29/2024,1,14,17,19,23,42,48,39
4/2/2024,11,23,36,38,42,43,49,27
4/5/2024,4,8,18,24,26,35,46,5
4/9/2024,4,5,22,30,44,46,50,34
4/12/2024,17,25,30,35,36,44,50,10
4/16/2024,15,19,22,28,34,36,46,25
4/19/2024,6,7,14,15,28,39,42,37
4/23/2024,7,14,17,26,29,38,39,18
4/26/2024,2,3,23,36,38,40,48,42
4/30/2024,5,8,18,21,23,31,48,40
5/3/2024,3,5,16,20,31,34,38,17
5/7/2024,3,22,32,43,46,47,48,49
5/10/2024,2,4,14,28,29,30,43,34
5/14/2024,10,15,18,27,28,32,43,8
5/17/2024,5,13,27,28,32,45,50,44
5/21/2024,1,4,6,7,34,40,46,2
5/24/2024,1,6,9,11,31,39,50,35
5/28/2024,2,6,9,21,22,32,43,3
5/31/2024,1,4,18,19,23,28,29,43
6/4/2024,5,6,12,15,18,34,37,7
6/7/2024,2,3,12,15,32,33,36,9
6/11/2024,3,30,39,44,45,47,49,46
6/14/2024,5,11,29,31,38,39,49,41
6/18/2024,17,19,32,34,37,44,45,22
6/21/2024,8,12,32,33,34,46,47,13
6/25/2024,3,11,38,40,43,44,45,4
6/28/2024,1,5,11,12,13,23,33,21
7/2/2024,1,5,11,12,13,23,33,21
7/5/2024,2,6,14,19,25,27,44,32
7/9/2024,19,22,29,33,41,45,50,44
7/12/2024,6,7,8,11,35,41,44,10
7/16/2024,10,11,18,26,36,40,49,28
7/19/2024,1,3,17,18,20,23,29,35
7/23/2024,4,12,14,16,27,35,41,32
7/26/2024,3,8,15,29,34,38,39,17
7/30/2024,1,4,11,35,42,45,49,36
8/2/2024,3,18,26,28,37,39,40,16
8/6/2024,7,12,13,30,38,46,48,28
8/9/2024,11,16,22,25,31,41,44,30
8/13/2024,13,28,30,34,40,45,49,9
8/16/2024,5,7,12,18,33,40,50,15
8/20/2024,2,11,12,21,24,38,39,33
8/23/2024,4,5,9,15,33,37,42,30
8/27/2024,4,17,25,38,41,46,50,14
8/30/2024,6,7,10,14,28,29,46,44
9/3/2024,4,6,10,22,32,39,50,19
9/6/2024,5,16,18,20,23,28,39,8
9/10/2024,5,16,22,24,31,33,38,30
9/13/2024,9,12,13,15,29,30,41,47
9/17/2024,2,4,11,16,25,29,47,34
9/20/2024,4,8,26,32,35,36,37,33
9/24/2024,1,11,21,38,40,43,45,20
9/27/2024,4,6,8,16,21,36,50,9
10/1/2024,11,12,28,32,36,38,41,44
10/4/2024,2,9,20,27,40,45,49,50
10/8/2024,10,11,13,20,22,27,48,21
10/11/2024,7,20,24,33,44,48,49,43
10/15/2024,8,12,19,20,26,32,46,27
10/18/2024,6,12,13,21,24,30,47,34
10/25/2024,3,15,23,24,31,33,47,22
10/29/2024,20,26,28,29,35,39,47,46
11/1/2024,7,16,22,28,30,34,41,44
11/5/2024,1,2,9,22,26,32,47,35
11/8/2024,2,16,25,38,40,41,44,26
11/12/2024,1,12,13,24,28,36,39,35
11/15/2024,2,7,10,14,27,32,35,44
11/19/2024,2,10,16,18,22,44,50,42
11/22/2024,4,6,9,21,40,42,43,24
11/26/2024,20,24,31,33,36,41,49,50
11/29/2024,6,17,26,29,30,39,49,2
12/3/2024,6,17,26,29,30,39,49,2
12/6/2024,8,21,29,31,37,38,41,12
12/10/2024,3,6,22,30,32,40,46,19
12/13/2024,2,17,20,22,32,33,47,24
12/17/2024,13,16,27,39,43,45,50,36
12/20/2024,5,6,7,24,27,29,32,47
12/24/2024,2,10,15,16,31,34,43,46
12/27/2024,2,6,13,31,35,37,39,49
12/31/2024,7,9,11,16,17,20,33,48
1/3/2025,3,10,19,27,33,37,38,7
1/7/2025,14,20,21,24,26,35,44,34
1/10/2025,1,2,11,19,27,28,36,21
1/14/2025,9,12,13,25,27,44,48,14
1/17/2025,10,17,19,25,28,34,41,33
1/21/2025,13,15,21,35,36,42,47,38
1/24/2025,22,27,29,35,39,45,46,33
1/28/2025,3,13,19,43,46,47,50,27
1/31/2025,2,8,9,16,27,37,38,30
2/4/2025,10,14,16,27,35,40,50,22
2/7/2025,10,11,20,21,27,32,49,35
2/11/2025,1,8,17,22,39,45,46,23
2025-02-19,1,7,20,27,30,35,48,44

