Date,W1,W2,W3,W4,W5,W6,WB
2/17/2024,3,17,25,29,36,46,2
2/21/2024,31,32,45,46,47,49,12
2/24/2024,2,14,15,28,42,44,25
2/28/2024,7,24,34,42,46,49,1
3/2/2024,4,13,26,34,35,42,1
3/6/2024,20,33,39,44,48,49,6
3/9/2024,6,15,19,34,45,47,27
3/13/2024,4,8,15,32,40,44,7
3/16/2024,12,27,32,38,39,41,42
3/20/2024,8,19,33,44,46,48,21
3/23/2024,2,14,26,27,33,49,8
3/27/2024,14,22,27,39,40,45,6
3/30/2024,7,12,25,29,39,43,23
4/3/2024,2,10,35,36,38,46,20
4/6/2024,16,18,22,29,36,43,44
4/10/2024,11,12,17,23,38,46,40
4/13/2024,11,17,21,27,41,44,7
4/17/2024,4,7,8,14,41,46,6
4/20/2024,9,14,23,26,30,43,35
4/24/2024,10,16,18,22,39,46,19
4/27/2024,3,6,18,26,36,42,17
5/1/2024,3,18,30,34,36,39,21
5/4/2024,2,16,21,27,38,45,43
5/8/2024,4,7,11,29,30,31,32
5/11/2024,2,10,17,18,22,28,36
5/15/2024,13,17,23,24,40,48,29
5/18/2024,27,29,32,33,35,39,18
5/22/2024,3,18,20,25,39,43,4
5/25/2024,14,21,31,37,39,42,19
5/29/2024,4,26,27,32,38,40,10
6/1/2024,17,22,28,35,37,41,18
6/5/2024,4,6,24,27,32,41,34
6/8/2024,3,6,26,28,39,40,29
6/12/2024,7,8,10,17,43,48,26
6/15/2024,4,11,27,30,33,34,42
6/19/2024,8,12,19,28,42,48,5
6/22/2024,20,23,29,34,37,43,33
6/26/2024,2,7,10,23,25,29,40
6/29/2024,6,7,30,33,35,39,15
7/3/2024,2,3,7,22,28,31,20
7/6/2024,5,6,8,16,18,38,30
7/10/2024,7,11,18,37,38,45,31
7/13/2024,5,18,27,31,32,35,23
7/17/2024,11,13,25,28,34,42,44
7/20/2024,5,12,15,23,37,42,21
7/24/2024,1,6,34,36,40,48,27
7/27/2024,5,23,26,33,36,39,8
7/31/2024,12,18,19,26,40,42,35
8/3/2024,3,11,18,32,39,42,28
8/7/2024,3,6,16,35,41,42,23
8/10/2024,9,15,17,20,25,49,28
8/14/2024,10,11,29,30,36,48,18
8/17/2024,7,8,9,10,26,33,19
8/21/2024,4,6,13,14,34,36,40
8/24/2024,16,21,29,32,42,49,5
8/28/2024,4,20,29,40,41,48,47
8/31/2024,7,24,25,34,43,44,13
9/4/2024,31,34,38,41,43,48,47
9/7/2024,8,21,33,34,37,47,24
9/11/2024,1,8,19,33,46,49,2
9/14/2024,11,14,19,25,26,28,21
9/18/2024,2,13,14,18,20,39,40
9/21/2024,5,10,11,15,27,49,25
9/25/2024,2,4,8,11,14,40,36
9/28/2024,7,15,23,29,41,46,22
10/2/2024,26,28,33,41,42,49,45
10/5/2024,17,18,20,29,32,35,38
10/9/2024,20,22,23,36,46,47,42
10/12/2024,3,16,21,28,39,43,8
10/16/2024,1,17,26,35,44,48,19
10/19/2024,2,12,20,23,28,41,43
10/23/2024,4,15,18,20,37,40,43
10/26/2024,7,16,19,25,28,29,15
10/30/2024,4,9,14,17,30,44,3
11/2/2024,7,13,37,42,46,47,48
11/6/2024,2,11,18,21,23,25,26
11/9/2024,9,12,16,39,47,49,30
11/13/2024,5,15,17,29,35,45,25
11/16/2024,7,14,21,30,32,42,15
11/20/2024,12,13,21,24,46,49,15
11/23/2024,3,4,6,11,27,39,1
11/27/2024,2,3,6,14,34,44,35
11/30/2024,1,5,22,25,36,37,30
12/4/2024,19,23,37,39,41,49,29
12/7/2024,9,22,33,41,42,45,12
12/11/2024,26,35,39,40,41,46,3
12/14/2024,3,4,13,16,27,43,38
12/18/2024,7,9,17,39,41,45,47
12/21/2024,6,9,21,24,41,48,31
12/25/2024,5,6,14,16,18,44,19
12/28/2024,8,16,18,23,34,36,12
1/1/2025,2,10,13,26,35,46,8
1/4/2025,2,5,9,19,24,44,10
1/8/2025,9,10,12,22,32,34,47
1/11/2025,3,9,18,25,43,45,31
1/15/2025,4,17,21,32,33,49,28
1/18/2025,8,13,16,18,31,43,1
1/22/2025,22,24,28,32,41,42,25
1/25/2025,1,14,19,27,32,40,37
1/29/2025,3,7,15,20,31,39,2
2/1/2025,2,28,29,30,36,49,35
2/5/2025,4,13,20,32,37,46,33
2/8/2025,7,17,22,26,27,32,46
2/12/2025,19,24,39,40,42,45,41
2/15/2025,8,10,31,37,43,49,34
2025-02-21,9,10,11,24,31,37,44
